timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749232566.2341113,220,140,882,387,1045,383
1749232566.40423,220,140,882,388,1027,380
1749232566.5570238,220,140,869,389,1022,380
1749232566.7129169,220,140,867,390,1021,382
1749232566.8653316,220,140,870,391,1034,383
1749232567.0282676,220,140,871,392,1028,382
1749232567.1950362,220,140,883,392,1038,381
1749232567.350454,220,140,884,391,1041,383
1749232567.5063226,220,140,885,391,1033,383
1749232567.667118,220,140,883,391,1036,383
1749232567.8245044,220,140,865,391,1022,384
1749232567.9794245,220,140,865,391,1023,384
1749232568.1356096,220,140,869,387,1027,384
1749232568.29015,220,140,868,393,1043,385
1749232568.4437313,220,140,875,390,1037,382
1749232568.600927,220,140,876,389,1033,384
1749232568.7583413,220,140,885,391,1027,387
1749232568.9111543,220,140,881,389,1035,384
1749232569.0655687,220,140,881,388,1037,383
1749232569.2175229,220,140,902,387,1052,389
1749232569.3709195,220,140,909,388,1057,385
1749232569.5259264,220,140,910,387,1059,383
1749232569.6835067,220,140,908,386,1061,382
1749232569.8362174,220,140,874,393,1041,385
1749232569.9904103,220,140,893,389,1041,387
1749232570.1442087,220,140,881,390,1040,386
1749232570.3007755,220,140,880,391,1048,386
1749232570.4574976,960,140,890,391,1040,386
1749232570.6096196,960,140,882,394,1040,395
1749232571.5614085,960,140,889,394,1044,386
1749232571.7116594,960,140,889,393,1045,387
1749232571.8778424,960,140,888,394,1036,388
1749232572.03243,960,140,888,393,1038,386
1749232572.1857803,960,140,887,393,1046,389
1749232572.33574,960,140,878,390,1042,382
1749232572.494978,960,140,873,389,1027,379
1749232572.648413,960,140,871,386,1026,378
1749232572.8010542,960,140,884,388,1026,377
1749232572.9584265,960,140,886,388,1027,377
1749232573.1124203,960,140,877,391,1028,385
1749232573.265766,960,140,885,390,1044,386
1749232573.4159663,960,140,886,393,1044,386
1749232573.5760677,960,140,885,391,1044,386
1749232573.7297244,960,140,886,393,1044,387
1749232573.8808,960,140,875,392,1044,387
1749232574.0378392,960,140,884,389,1022,386
1749232574.1917846,960,140,864,393,1022,387
1749232574.3452823,960,140,875,392,1033,383
1749232574.5006917,960,140,875,392,1034,385
1749232574.6579034,1760,140,877,392,1035,387
1749232574.809117,1760,140,879,393,1046,389
1749232574.9616714,1760,140,889,392,1047,389
1749232575.1092918,1760,140,878,393,1046,389
1749232575.26149,1760,140,869,393,1038,387
1749232575.4282508,1760,140,869,392,1038,386
1749232575.5776892,1760,140,868,391,1038,386
1749232575.744835,1760,140,868,392,1038,385
1749232575.904887,1760,140,875,394,1042,389
1749232576.060577,1760,140,884,394,1034,386
1749232576.2149282,1760,140,876,393,1033,388
1749232576.382403,1760,140,884,394,1042,388
1749232576.5367177,1760,140,884,394,1048,392
1749232576.6956651,1760,140,870,391,1037,385
1749232576.845323,1760,140,882,393,1038,386
1749232577.000501,1760,140,868,391,1038,386
1749232577.1547487,1760,140,868,391,1038,385
1749232577.3103347,1760,140,884,394,1042,388
1749232577.4609163,1760,140,884,395,1033,387
1749232577.6180062,1760,140,875,394,1041,383
1749232577.7712784,1760,140,885,394,1034,387
1749232577.9267948,1760,140,879,393,1034,392
1749232578.2400224,1760,140,880,394,1043,392
1749232578.544895,1760,140,879,393,1048,390
1749232578.70077,1760,140,880,394,1037,392
1749232578.858003,220,540,884,394,1050,392
1749232579.0083804,220,540,885,395,1043,388
1749232579.162292,220,540,884,396,1043,389
1749232579.3083637,220,540,884,394,1033,387
1749232579.4827769,220,540,885,395,1033,392
1749232579.628294,220,540,884,393,1035,386
1749232579.7948642,220,540,884,394,1033,387
1749232579.9610648,220,540,876,391,1032,388
1749232580.1114485,220,540,884,394,1033,386
1749232580.2599993,220,540,874,394,1041,387
1749232580.4246645,220,540,879,393,1044,389
1749232580.5786648,220,540,878,395,1036,395
1749232580.731472,220,540,878,393,1035,392
1749232580.8845906,220,540,878,394,1040,391
1749232581.0505178,220,540,880,394,1047,390
1749232581.2029853,220,540,879,394,1041,391
1749232581.360132,220,540,880,394,1035,393
1749232581.5099463,220,540,879,395,1048,392
1749232581.6672363,220,540,879,395,1036,393
1749232581.8227909,220,540,878,393,1052,393
1749232581.9749374,220,540,879,394,1042,393
1749232582.1340597,220,540,872,395,1054,394
1749232582.285366,220,540,885,396,1037,392
1749232582.4385164,220,540,878,395,1042,393
1749232582.601016,220,540,884,395,1041,391
1749232582.7587686,220,540,874,396,1032,389
1749232582.9098997,220,540,823,401,981,397
1749232583.0636365,960,540,742,415,900,388
1749232583.2404413,960,540,670,430,830,401
1749232583.3961642,960,540,634,435,787,400
1749232583.7008207,960,540,714,424,872,395
1749232583.860699,960,540,768,413,933,391
1749232584.011281,960,540,818,411,979,404
1749232584.1617277,960,540,864,411,1025,404
1749232584.3435771,960,540,870,412,1036,407
1749232584.5006628,960,540,859,413,1012,412
1749232584.6560233,960,540,851,414,1012,408
1749232584.8132281,960,540,849,411,1019,403
1749232584.9649448,960,540,857,412,1009,405
1749232585.118404,960,540,855,410,1005,403
1749232585.2669919,960,540,844,408,1012,402
1749232585.4213421,960,540,843,407,1002,399
1749232585.5818381,960,540,844,404,1012,399
1749232585.732198,960,540,845,403,1014,398
1749232585.891642,960,540,845,400,1013,394
1749232586.0428815,960,540,846,400,1003,394
1749232586.2006495,960,540,853,399,1004,393
1749232586.3599277,960,540,846,401,1014,395
1749232586.5118709,960,540,846,402,1003,396
1749232586.666523,960,540,845,402,1004,395
1749232586.8189173,960,540,845,401,1003,394
1749232586.9734936,960,540,844,402,1010,392
1749232587.1393206,960,540,844,400,1005,395
1749232587.2989428,1760,540,852,402,1005,395
1749232587.4547749,1760,540,844,402,1003,394
1749232587.6067748,1760,540,845,402,1003,394
1749232587.766105,1760,540,845,401,1010,391
1749232587.9227457,1760,540,852,401,1008,393
1749232588.0782485,1760,540,850,406,997,396
1749232588.228461,1760,540,838,401,1001,391
1749232588.3922856,1760,540,837,403,1008,393
1749232588.5504777,1760,540,839,402,1013,396
1749232588.713568,1760,540,845,400,1001,393
1749232588.8662598,1760,540,849,402,1001,393
1749232589.026387,1760,540,849,402,1000,393
1749232589.1815777,1760,540,850,402,1000,393
1749232589.3312423,1760,540,840,402,1009,394
1749232589.4846425,1760,540,841,402,1009,394
1749232589.6433284,1760,540,850,402,1009,393
1749232589.7973118,1760,540,841,402,1007,390
1749232589.9505424,1760,540,849,401,1007,390
1749232590.1050892,1760,540,841,402,999,393
1749232590.2580643,1760,540,837,403,995,394
1749232590.4105926,1760,540,837,401,1005,393
1749232590.5624778,1760,540,837,401,1005,393
1749232590.7138166,1760,540,837,401,1006,393
1749232590.8703434,1760,540,835,404,1006,394
1749232591.0224586,1760,540,838,402,1005,390
1749232591.1879742,1760,540,849,403,1008,391
1749232591.3404799,1760,540,841,400,1014,394
1749232591.5118377,220,980,842,403,1001,393
1749232591.659051,220,980,843,402,988,394
1749232591.8229141,220,980,840,404,1015,399
1749232591.980594,220,980,862,405,1011,400
1749232592.1280842,220,980,867,406,1014,402
1749232592.4615488,220,980,846,408,1009,404
1749232592.626533,220,980,839,408,1003,403
1749232592.785649,220,980,856,407,1010,404
1749232592.947005,220,980,836,408,1015,400
1749232593.1007223,220,980,844,405,1003,396
1749232593.2511268,220,980,845,403,995,397
1749232593.4064548,220,980,853,403,1011,395
1749232593.5589046,220,980,844,402,1002,393
1749232593.7123113,220,980,843,398,1000,391
1749232593.8667488,220,980,849,396,999,391
1749232594.0214999,220,980,855,398,1012,390
1749232594.1722589,220,980,873,408,1037,397
